"rowid","gameid","home_team","home_score","home_turnovers","away_team","away_score","away_turnovers","TODifAway","TODifHome","PointDifHome","PointDifAway"
"284","2010091911","NYJ",28,0,"NE",14,3,-3,3,14,-14
"285","2010091912","CIN",15,0,"BAL",10,4,-4,4,5,-5
"286","2010091913","SD",38,3,"JAC",13,6,-3,3,25,-25
"287","2010091914","IND",38,1,"NYG",14,3,-2,2,24,-24
"288","2010092000","SF",22,4,"NO",25,0,4,-4,-3,3
"289","2010092600","NYG",10,3,"TEN",29,0,3,-3,-19,19
"290","2010092601","CAR",7,4,"CIN",20,2,2,-2,-13,13
"291","2010092602","TB",13,2,"PIT",38,2,0,0,-25,25
"292","2010092603","NE",38,1,"BUF",30,2,-1,1,8,-8
"293","2010092604","BAL",24,0,"CLE",17,0,0,0,7,-7
"294","2010092605","MIN",24,3,"DET",10,3,0,0,14,-14
"295","2010092606","NO",24,3,"ATL",27,1,2,-2,-3,3
"296","2010092607","STL",30,2,"WAS",16,2,0,0,14,-14
"297","2010092608","HOU",13,3,"DAL",27,0,3,-3,-14,14
"298","2010092609","KC",31,1,"SF",10,1,0,0,21,-21
"299","2010092610","JAC",3,1,"PHI",28,0,1,-1,-25,25
"300","2010092611","DEN",13,2,"IND",27,0,2,-2,-14,14
"301","2010092612","ARI",24,3,"OAK",23,1,2,-2,1,-1
"302","2010092613","SEA",27,2,"SD",20,5,-3,3,7,-7
"303","2010092614","MIA",23,1,"NYJ",31,0,1,-1,-8,8
"304","2010092700","CHI",20,1,"GB",17,2,-1,1,3,-3
"305","2010100300","BUF",14,2,"NYJ",38,0,2,-2,-24,24
"306","2010100301","CLE",23,1,"CIN",20,2,-1,1,3,-3
"307","2010100302","PIT",14,1,"BAL",17,2,-1,1,-3,3
"308","2010100303","TEN",20,2,"DEN",26,1,1,-1,-6,6
"309","2010100304","GB",28,4,"DET",26,3,1,-1,2,-2
"310","2010100305","ATL",16,2,"SF",14,3,-1,1,2,-2
"311","2010100306","NO",16,2,"CAR",14,1,1,-1,2,-2
"312","2010100307","STL",20,1,"SEA",3,2,-1,1,17,-17
"313","2010100308","JAC",31,0,"IND",28,2,-2,2,3,-3
"314","2010100309","OAK",24,3,"HOU",31,0,3,-3,-7,7
"315","2010100310","PHI",12,2,"WAS",17,1,1,-1,-5,5
"316","2010100311","SD",41,1,"ARI",10,3,-2,2,31,-31
"317","2010100312","NYG",17,3,"CHI",3,3,0,0,14,-14
"318","2010100400","MIA",14,4,"NE",41,0,4,-4,-27,27
"319","2010101000","BUF",26,0,"JAC",36,3,-3,3,-10,10
"320","2010101001","BAL",31,0,"DEN",17,1,-1,1,14,-14
"321","2010101002","IND",19,1,"KC",9,1,0,0,10,-10
"322","2010101003","WAS",16,1,"GB",13,2,-1,1,3,-3
"323","2010101004","DET",44,0,"STL",6,3,-3,3,38,-38
"324","2010101005","CAR",6,3,"CHI",23,4,-1,1,-17,17
"325","2010101006","CIN",21,4,"TB",24,3,1,-1,-3,3
"326","2010101007","CLE",10,3,"ATL",20,1,2,-2,-10,10
"327","2010101008","HOU",10,2,"NYG",34,2,0,0,-24,24
"328","2010101009","ARI",30,1,"NO",20,4,-3,3,10,-10
"329","2010101010","DAL",27,3,"TEN",34,0,3,-3,-7,7
"330","2010101011","OAK",35,1,"SD",27,3,-2,2,8,-8
"331","2010101012","SF",24,5,"PHI",27,1,4,-4,-3,3
"332","2010101100","NYJ",29,0,"MIN",20,3,-3,3,9,-9
"333","2010101700","GB",20,1,"MIA",23,1,0,0,-3,3
"334","2010101701","STL",20,0,"SD",17,1,-1,1,3,-3
"335","2010101702","NE",23,2,"BAL",20,0,2,-2,3,-3
"336","2010101703","PIT",28,1,"CLE",10,3,-2,2,18,-18
"337","2010101704","HOU",35,0,"KC",31,0,0,0,4,-4
"338","2010101705","NYG",28,1,"DET",20,3,-2,2,8,-8
"339","2010101706","PHI",31,1,"ATL",17,2,-1,1,14,-14
"340","2010101707","CHI",20,0,"SEA",23,0,0,0,-3,3
"341","2010101708","TB",6,1,"NO",31,1,0,0,-25,25
"342","2010101709","DEN",20,2,"NYJ",24,3,-1,1,-4,4
"343","2010101710","SF",17,0,"OAK",9,2,-2,2,8,-8
"344","2010101711","MIN",24,1,"DAL",21,2,-1,1,3,-3
"345","2010101712","WAS",24,2,"IND",27,3,-1,1,-3,3
"346","2010101800","JAC",3,4,"TEN",30,0,4,-4,-27,27
"347","2010102400","ATL",39,2,"CIN",32,1,1,-1,7,-7
"348","2010102401","MIA",22,1,"PIT",23,2,-1,1,-1,1
"349","2010102402","BAL",37,2,"BUF",34,4,-2,2,3,-3
"350","2010102403","KC",42,0,"JAC",20,3,-3,3,22,-22
"351","2010102404","NO",17,4,"CLE",30,0,4,-4,-13,13
"352","2010102405","CHI",14,6,"WAS",17,3,3,-3,-3,3
"353","2010102406","CAR",23,3,"SF",20,1,2,-2,3,-3
"354","2010102407","TB",18,0,"STL",17,1,-1,1,1,-1
"355","2010102408","TEN",37,3,"PHI",19,4,-1,1,18,-18
"356","2010102409","SEA",22,1,"ARI",10,5,-4,4,12,-12
"357","2010102410","SD",20,4,"NE",23,0,4,-4,-3,3
"358","2010102411","DEN",14,3,"OAK",59,0,3,-3,-45,45
"359","2010102412","GB",28,2,"MIN",24,3,-1,1,4,-4
"360","2010102500","DAL",35,2,"NYG",41,5,-3,3,-6,6
"361","2010103100","SF",24,0,"DEN",16,2,-2,2,8,-8
"362","2010103101","DAL",17,4,"JAC",35,1,3,-3,-18,18
"363","2010103102","CIN",14,1,"MIA",22,2,-1,1,-8,8
"364","2010103103","KC",13,0,"BUF",10,1,-1,1,3,-3
"365","2010103104","DET",37,2,"WAS",25,2,0,0,12,-12
"366","2010103105","STL",20,0,"CAR",10,4,-4,4,10,-10
"367","2010103106","NYJ",0,3,"GB",9,0,3,-3,-9,9
"368","2010103107","SD",33,1,"TEN",25,0,1,-1,8,-8
"369","2010103108","NE",28,0,"MIN",18,1,-1,1,10,-10
"370","2010103109","ARI",35,4,"TB",38,2,2,-2,-3,3
"371","2010103110","OAK",33,0,"SEA",3,1,-1,1,30,-30
"372","2010103111","NO",20,2,"PIT",10,2,0,0,10,-10
"373","2010110100","IND",30,0,"HOU",17,2,-2,2,13,-13
"374","2010110700","DET",20,0,"NYJ",23,2,-2,2,-3,3
"375","2010110701","BAL",26,0,"MIA",10,3,-3,3,16,-16
"376","2010110702","CLE",34,1,"NE",14,3,-2,2,20,-20
"377","2010110703","HOU",23,1,"SD",29,2,-1,1,-6,6
"378","2010110704","BUF",19,3,"CHI",22,1,2,-2,-3,3
"379","2010110705","MIN",27,3,"ARI",24,1,2,-2,3,-3
"380","2010110706","ATL",27,0,"TB",21,2,-2,2,6,-6
"381","2010110707","CAR",3,2,"NO",34,1,1,-1,-31,31
"382","2010110708","SEA",7,3,"NYG",41,1,2,-2,-34,34
"383","2010110709","PHI",26,0,"IND",24,2,-2,2,2,-2
"384","2010110710","OAK",23,3,"KC",20,2,1,-1,3,-3
"385","2010110711","GB",45,0,"DAL",7,4,-4,4,38,-38
"386","2010110800","CIN",21,2,"PIT",27,2,0,0,-6,6
"387","2010111100","ATL",26,0,"BAL",21,2,-2,2,5,-5
"388","2010111400","MIA",29,1,"TEN",17,3,-2,2,12,-12
"389","2010111401","CLE",20,2,"NYJ",26,1,1,-1,-6,6
"390","2010111402","IND",23,0,"CIN",17,5,-5,5,6,-6
"391","2010111403","JAC",31,0,"HOU",24,1,-1,1,7,-7
"392","2010111404","CHI",27,2,"MIN",13,4,-2,2,14,-14
"393","2010111405","TB",31,2,"CAR",16,1,1,-1,15,-15
"394","2010111406","BUF",14,1,"DET",12,1,0,0,2,-2
"395","2010111407","DEN",49,0,"KC",29,1,-1,1,20,-20
"396","2010111408","NYG",20,3,"DAL",33,1,2,-2,-13,13
"397","2010111409","ARI",18,2,"SEA",36,1,1,-1,-18,18
"398","2010111410","SF",23,0,"STL",20,0,0,0,3,-3
